"Computer","OS","Remedied","Before(GB)","After(GB)","Required(GB)"
"KULPWSANHQ01","W2K16","NR","16.23","16.23",""
"P21VMESUPUI14","W2K16","NO","14.98","14.98","1"
"RPAPWP1NRDSH131","W2K16","NO","14.42","14.42","1"
"AUSPWARBUSSVC03","W2K16","NO","14.92","14.92","1"
"AUSPWDCECMSVC1","W2K16","NO","14.92","14.92","1"
"MORPWRB02","W2K16","NR","15.03","15.03",""
"AUSPWEUDMSVC11","W2K16","NO","14.94","14.94","1"
"P21VMSTPEMUXL1","W2K16","NR","15.08","15.08",""
"P60VMESUPUI10","W2K16","NR","15.03","15.03",""
"RPAPWS3PRDSH204","W2K16","NR","16.04","16.04",""
"RPAPWS3PRDSH20","W2K16","NO","14.84","14.84","1"
"RPAPWP1PRDSH112","W2K16","NO","13.79","13.79","2"
"P80VMDBSNPERO03","W2K16","NR","15.22","15.22",""
"AUSPWARBFTWEB1","W2K16","NR","15.03","15.03",""
"RPAPWS3NRDSH14","W2K16","NO","14.57","14.57","1"
"RPAPWS3PRDSH133","W2K16","NR","15.18","15.18",""
"AUSPWRBTXSTN10","W2K16","NR","15.37","15.37",""
"AUSPWSPLDB01","W2K16","NR","15.01","15.01",""
"AUSPWBIPORTWEB2","W2K16","NR","15.29","15.29",""
"RPAPWS3NRDSH228","W2K16","NR","15.01","15.01",""
"P61VMESUPSVC01","W2K16","NR","15.39","15.39",""
"AUSPWSTPNANWDB4","W2K16","NR","15.38","15.38",""
"RPAPWS3NRDSH157","W2K16","NR","15.57","15.57",""
"P60VMSTPNADNL03","W2K16","NR","15.17","15.17",""
"AUSPWGDMRPT01","W2K16","NR","16.49","16.49",""
"RPAPWP1PRDSH01","W2K16","NO","14.69","14.69","1"
"AUSPWEMDMAP201","W2K16","NR","15.05","15.05",""
"AUSPWRBTXDB03","W2K16","NR","15.8","15.8",""
"RPAPWS3PRDSH234","W2K16","NR","16.05","16.05",""
"RPAPWP1NRDSH01","W2K16","NR","15.81","15.81",""
"RPAPWP1NRDSH121","W2K16","NR","15.42","15.42",""
"P70VMDBSNPEE02","W2K16","NO","14.98","14.98","1"
"P21VMESUPSVC04","W2K16","NR","15.32","15.32",""
"RPAPWP1NRDSH163","W2K16","NO","13.65","13.65","2"
"AUSFWINGAPP02","W2K16","NR","15.37","15.37",""
"RPAPWS3NRDSH124","W2K16","NR","15.12","15.12",""
"P60VMSTPEMUXL1","W2K16","NR","15.38","15.38",""
"SCOPWPTSKAPP01","W2K16","NR","15.15","15.15",""
"RPAPWP1PRDSH181","W2K16","NO","7.94","7.94","8"
"P21VMSTPLAAPIL1","W2K16","NR","15.4","15.4",""
"RPAPWP1NRDSH168","W2K16","NO","14.77","14.77","1"
"PENPWFTA3EEP01","W2K16","NR","15.19","15.19",""
"P60VMSTPLASTL1","W2K16","NR","15.44","15.44",""
"P21VMSTPLASTL1","W2K16","NR","15.21","15.21",""
"AUSPWOLPUSCFB01","W2K16","NR","15.21","15.21",""
"EXCHPWOPSAPP01","W2K16","NR","15.34","15.34",""
"RPAPWS3NRDSH229","W2K16","NR","15.31","15.31",""
"AUSPWOSTUI04","W2K16","NR","15.12","15.12",""
"MDCPWKALIAPP04","W2K16","NR","15.25","15.25",""
"AUSPWVCTRXL001","W2K16","NR","15.95","15.95",""
"RPANWROBOTDEV01","W2K16","NO","14.87","14.87","1"
"AUSFWESUPWIP02","W2K16","NR","15.19","15.19",""
"P61VMESUPUI09","W2K16","NR","15.6","15.6",""
"AUSPWCOMSVC02","W2K16","NR","15.23","15.23",""
"RPAPWS3NRDSH240","W2K16","NO","14.96","14.96","1"
"DMOPWMD1COST01","W2K16","NR","15.17","15.17",""
"RPAPWP1NRDSH249","W2K16","NO","14.91","14.91","1"
"P20VMESUPUI11","W2K16","NR","15.26","15.26",""
"RPAPWS3NRDSH12","W2K16","NR","15.57","15.57",""
"AUSPWUSPIDDB01","W2K16","NR","31.33","31.33",""
"AUSPWCOMSVC09","W2K16","YES","13.78","15.35",""
"AUSPWRBTXSTN07","W2K16","YES","13.75","15.32",""
"RPAPWP1NRDSH125","W2K16","NO","13.2","14.93","1"
"RPAPWS3NRDSH195","W2K16","YES","13.65","15.9",""
"RPAPWS3PRDSH255","W2K16","YES","13.66","16.09",""
"P20VMESUPUI12","W2K16","YES","13.96","15.53",""
"AUSPWM2PMTDB1","W2K16","YES","14","15.58",""
"P60VMSTPLASUBL1","W2K16","YES","13.67","15.19",""
"AUSPWOLARBWEB04","W2K16","YES","13.77","16.52",""
"RPAPWP1PRDSH140","W2K16","NO","13.11","14.83","1"
"RPAPWP1PRDSH02","W2K16","YES","13.13","15.01",""
"AUSPWALLIANTAP2","W2K16","YES","14.46","16.27",""
"AUSPWSTPAPSWDB2","W2K16","YES","13.89","15.46",""
"RPAPWS3NRDSH111","W2K16","YES","13.72","15.37",""
"AUSPWDMESVCP201","W2K16","YES","14.02","15.65",""
"AUSPWCEDAPP01","W2K16","YES","13.78","15.67",""
"P60VMESUPUI07","W2K16","YES","13.78","15.35",""
"AUSPWSTPAPNWDB2","W2K16","NR","16.76","16.76",""
"RPAPWS3PRDSH228","W2K16","YES","13.88","16.31",""
"QFIPWAPJWS06","W2K16","YES","13.8","24.09",""
"AUSPWRBTXSTN15","W2K16","YES","13.81","15.38",""
"RPAPWS3NRDSH189","W2K16","YES","13.7","15.28",""
"QFIPWAPJWS03","W2K16","YES","13.84","24.68",""
"RPAPWP1NRDSH176","W2K16","NO","12.36","13.93","2"
"AUSPWCOMSVC04","W2K16","YES","14.05","15.57",""
"RPAPWS3PRDSH231","W2K16","YES","13.88","16.31",""
"SCOPWSRBSAPP03","W2K16","YES","13.89","15.47",""
"AUSPWARBEMSVC01","W2K16","YES","13.89","15.41",""
"AUSPWCMIPR02","W2K16","NR","15.3","15.3",""
"AUSPWRBTXSTN04","W2K16","YES","14.1","15.61",""
"AUSPWTFSAPP08","W2K16","YES","14","15.6",""
"P60VMESUPUI13","W2K16","YES","13.86","15.43",""
"RPAPWS3PRDSH237","W2K16","YES","13.89","16.32",""
"RPAPWS3PRDSH260","W2K16","YES","13.7","16.14",""
"RPAPWS3PRDSH257","W2K16","YES","13.81","16.24",""
"P60VMESUPUI15","W2K16","YES","13.91","15.48",""
